norad_id,raan_deg,mean_anomaly_deg,Pc_n,cov_norm
91473,318.913,202.6087,1.287859e-14,0.9496124031007752
91475,318.913,282.6087,0.0,0.9457364341085271
91476,318.913,322.6087,0.0,0.9457364341085271
91477,320.8696,333.913,0.0,0.9573643410852714
91479,320.8696,53.913,0.0,0.9612403100775192
91480,320.8696,93.913,0.0,0.9612403100775192
91481,320.8696,133.913,0.0,0.9651162790697674
91483,320.8696,213.913,0.0,0.9651162790697674
91484,320.8696,253.913,0.0,0.9612403100775192
91485,320.8696,293.913,0.0,0.9573643410852714
91486,322.8261,305.2174,0.0,0.9728682170542636
91487,322.8261,345.2174,0.0,0.9767441860465116
91488,322.8261,25.2174,0.0,0.9728682170542636
91490,322.8261,105.2174,0.0,0.9728682170542636
91491,322.8261,145.2174,1.493472e-12,0.9767441860465116
91492,322.8261,185.2174,0.0,0.9806201550387598
91493,322.8261,225.2174,0.0,0.9806201550387598
91495,324.7826,276.5217,0.0,0.992248062015504
91498,324.7826,36.5217,0.0,0.988372093023256
91500,324.7826,116.5217,0.0,0.992248062015504
91502,324.7826,196.5217,0.0,0.988372093023256
91504,326.7391,247.8261,0.0,0.996124031007752
91505,326.7391,287.8261,0.0,1.0
91506,326.7391,327.8261,0.0,0.996124031007752
91511,326.7391,167.8261,0.0,0.992248062015504
91513,328.6957,219.1304,0.0,0.9689922480620156
91514,328.6957,259.1304,0.0,0.9689922480620156
91515,328.6957,299.1304,0.0,0.9651162790697674
91516,328.6957,339.1304,0.0,0.9651162790697674
91517,328.6957,19.1304,0.0,0.9612403100775192
91519,328.6957,99.1304,2.319256e-13,0.9689922480620156
91521,328.6957,179.1304,0.0,0.9689922480620156
91524,330.6522,270.4348,0.0,0.937984496124031
91525,330.6522,310.4348,0.0,0.937984496124031
91528,330.6522,70.4348,0.0,0.937984496124031
91529,330.6522,110.4348,0.0,0.937984496124031
91530,330.6522,150.4348,0.0,0.9418604651162792
91531,332.6087,161.7391,0.0,0.9031007751937984
91532,332.6087,201.7391,0.0,0.9031007751937984
91534,332.6087,281.7391,2.345119e-08,0.9031007751937984
91535,332.6087,321.7391,0.0,0.9031007751937984
91536,332.6087,1.7391,0.0,0.9031007751937984
91537,332.6087,41.7391,0.0,0.8992248062015503
91538,332.6087,81.7391,3.372537e-08,0.9031007751937984
91539,332.6087,121.7391,0.0,0.9031007751937984
91541,334.5652,173.0435,0.0,0.8643410852713178
91544,334.5652,293.0435,0.0,0.8604651162790699
91545,334.5652,333.0435,4.22995e-14,0.8604651162790699
91548,334.5652,93.0435,1.551093e-12,0.8604651162790699
91549,336.5217,104.3478,0.0,0.8294573643410853
91551,336.5217,184.3478,0.0,0.8294573643410853
91554,336.5217,304.3478,0.0,0.8294573643410853
91555,336.5217,344.3478,0.0,0.8294573643410853
91557,336.5217,64.3478,0.0,0.8294573643410853
91558,338.4783,75.6522,0.0,0.7984496124031009
91562,338.4783,235.6522,0.0,0.8023255813953488
91563,338.4783,275.6522,0.0,0.8023255813953488
91569,340.4348,126.9565,0.0,0.7713178294573643
91572,340.4348,246.9565,0.0,0.7751937984496123
91574,340.4348,326.9565,0.0,0.7751937984496123
91575,340.4348,6.9565,0.0,0.7751937984496123
91581,342.3913,218.2609,0.0,0.7441860465116279
91583,342.3913,298.2609,0.0,0.748062015503876
91584,342.3913,338.2609,0.0,0.7441860465116279
91588,344.3478,109.5652,0.0,0.7170542635658914
91590,344.3478,189.5652,0.0,0.7131782945736433
91592,344.3478,269.5652,0.0,0.7209302325581396
91593,344.3478,309.5652,0.0,0.7209302325581396
91594,346.3043,320.8696,0.0,0.6976744186046512
91596,346.3043,40.8696,0.0,0.6976744186046512
91597,346.3043,80.8696,0.0,0.6976744186046512
91601,346.3043,240.8696,0.0,0.6976744186046512
91602,346.3043,280.8696,0.0,0.6976744186046512
91604,348.2609,332.1739,4.602985e-13,0.6976744186046512
91606,348.2609,52.1739,0.0,0.6976744186046512
91607,348.2609,92.1739,0.0,0.6976744186046512
91608,348.2609,132.1739,0.0,0.6976744186046512
91610,348.2609,212.1739,0.0,0.6976744186046512
91611,348.2609,252.1739,0.0,0.6976744186046512
91612,350.2174,263.4783,0.0,0.6976744186046512
91615,350.2174,23.4783,0.0,0.6976744186046512
91616,350.2174,63.4783,5.466752e-09,0.6976744186046512
91618,350.2174,143.4783,0.0,0.6976744186046512
91619,350.2174,183.4783,0.0,0.6976744186046512
91620,350.2174,223.4783,0.0,0.6976744186046512
91622,352.1739,274.7826,0.0,0.6976744186046512
91623,352.1739,314.7826,0.0,0.6976744186046512
91627,352.1739,114.7826,0.0,0.6976744186046512
91632,354.1304,286.087,0.0,0.6976744186046512
91634,354.1304,6.087,0.0,0.6976744186046512
91636,354.1304,86.087,0.0,0.6976744186046512
91637,354.1304,126.087,0.0,0.6976744186046512
91639,356.087,177.3913,0.0,0.6976744186046512
91642,356.087,297.3913,0.0,0.6976744186046512
91649,358.0435,188.6957,0.0,0.6976744186046512
91651,358.0435,268.6957,0.0,0.6976744186046512
91652,358.0435,308.6957,0.0,0.6976744186046512
91653,358.0435,348.6957,0.0,0.6976744186046512
91654,358.0435,28.6957,0.0009536356,0.6976744186046512
91655,358.0435,68.6957,2.884152e-10,0.6976744186046512
