norad_id,raan_deg,mean_anomaly_deg,Pc_n,gs_violations
90002,0.0,40.0,0.0,0
90004,0.0,120.0,0.0,0
90005,0.0,160.0,0.0,0
90006,0.0,200.0,0.0,0
90199,43.0435,88.6957,0.0,0
90210,45.0,140.0,0.0,0
90213,45.0,260.0,0.0,0
90217,46.9565,31.3043,0.0,0
90220,46.9565,151.3043,6.429302e-13,0
90224,46.9565,311.3043,0.0,0
90227,48.913,42.6087,0.0,0
90232,48.913,242.6087,0.0,0
90237,50.8696,53.913,0.0,0
90238,50.8696,93.913,9.653167e-12,0
90241,50.8696,213.913,0.0,0
90252,52.8261,265.2174,0.0,0
90253,54.7826,276.5217,4.696243e-14,0
90258,54.7826,116.5217,0.0,0
90260,54.7826,196.5217,0.0,0
90263,56.7391,287.8261,0.0,0
90264,56.7391,327.8261,0.0,0
90274,58.6957,339.1304,0.0,0
90286,60.6522,70.4348,0.0,0
90290,62.6087,201.7391,2.220446e-16,0
90305,64.5652,53.0435,0.0,0
90315,66.5217,64.3478,0.0,0
90323,68.4783,355.6522,0.0,0
90406,88.0435,148.6957,0.0,0
90416,90.0,160.0,0.0,0
90423,90.0,80.0,0.0,0
90454,97.8261,125.2174,0.0,0
90468,99.7826,296.5217,0.0,0
90478,103.6957,279.1304,0.0,0
90484,103.6957,159.1304,0.0,0
90485,103.6957,199.1304,0.0,0
90487,105.6522,250.4348,0.0,0
90515,111.5217,204.3478,0.0,0
90516,111.5217,244.3478,0.0,0
90538,115.4348,346.9565,0.0,0
90654,140.8696,293.913,0.0,0
90657,140.8696,53.913,0.0,0
90658,142.8261,65.2174,0.0,0
90661,142.8261,185.2174,0.0,0
90670,144.7826,156.5217,0.0,0
90672,144.7826,236.5217,0.0,0
90676,146.7391,7.8261,7.771561e-16,0
90683,146.7391,287.8261,0.0,0
90690,148.6957,179.1304,1.378504e-07,0
90692,148.6957,259.1304,3.38726e-10,0
90708,152.6087,121.7391,0.0,0
90717,154.5652,93.0435,0.0,0
90719,154.5652,173.0435,0.0,0
90720,154.5652,213.0435,0.0,0
90721,156.5217,224.3478,0.0,0
90731,158.4783,235.6522,0.0,0
90732,158.4783,275.6522,0.0,0
90736,158.4783,75.6522,0.0,0
90741,160.4348,246.9565,0.0,0
90744,160.4348,6.9565,0.0,0
90746,160.4348,86.9565,0.0,0
90750,162.3913,218.2609,0.0,0
90756,162.3913,98.2609,0.0,0
90765,164.3478,69.5652,0.0,0
90766,166.3043,80.8696,0.0,0
90767,166.3043,120.8696,0.0,0
90775,168.2609,52.1739,0.0,0
90778,168.2609,172.1739,0.0,0
90779,168.2609,212.1739,0.0,0
90784,170.2174,23.4783,0.0,0
90788,170.2174,183.4783,0.0,0
90790,170.2174,263.4783,0.0,0
90791,170.2174,303.4783,0.0,0
90793,172.1739,354.7826,0.0,0
90795,172.1739,74.7826,4.218847e-15,0
90800,172.1739,274.7826,0.0,0
90802,174.1304,326.087,0.0,0
90803,174.1304,6.087,0.0,0
90804,174.1304,46.087,0.0,0
90806,174.1304,126.087,0.0,0
90807,174.1304,166.087,0.0,0
90808,174.1304,206.087,0.0,0
90809,174.1304,246.087,0.0,0
90810,174.1304,286.087,0.0,0
90811,176.087,297.3913,0.0,0
90814,176.087,57.3913,0.0,0
90816,176.087,137.3913,0.0,0
90827,178.0435,188.6957,0.0,0
90837,180.0,200.0,0.0,0
90861,185.8696,353.913,0.0,0
90862,185.8696,33.913,0.0,0
90984,213.2609,192.1739,0.0,0
91015,219.1304,266.087,0.0,0
91617,350.2174,103.4783,0.0,0
91623,352.1739,314.7826,0.0,0
91628,352.1739,154.7826,0.0,0
91635,354.1304,46.087,0.0,0
91645,356.087,57.3913,0.0,0
91646,356.087,97.3913,0.0,0
91651,358.0435,268.6957,0.0,0
91655,358.0435,68.6957,2.884152e-10,0
