norad_id,raan_deg,mean_anomaly_deg,Pc_n,gs_violations
90002,0.0,40.0,0.0,0
90004,0.0,120.0,0.0,0
90186,39.1304,346.087,0.0,0
90204,43.0435,288.6957,0.0,0
90208,45.0,60.0,0.0,0
90210,45.0,140.0,0.0,0
90211,45.0,180.0,0.0,0
90214,45.0,300.0,0.0,0
90217,46.9565,31.3043,0.0,0
90218,46.9565,71.3043,0.0,0
90219,46.9565,111.3043,0.0,0
90220,46.9565,151.3043,6.429302e-13,0
90221,46.9565,191.3043,0.0,0
90227,48.913,42.6087,0.0,0
90238,50.8696,93.913,9.653167e-12,0
90250,52.8261,185.2174,0.0,0
90251,52.8261,225.2174,0.0,0
90256,54.7826,36.5217,0.0,0
90265,56.7391,7.8261,0.0,0
90266,56.7391,47.8261,0.0,0
90269,56.7391,167.8261,0.0,0
90278,58.6957,139.1304,0.0,0
90290,62.6087,201.7391,2.220446e-16,0
90305,64.5652,53.0435,0.0,0
90399,86.087,257.3913,0.0,0
90401,86.087,337.3913,0.0,0
90436,93.913,182.6087,0.0,0
90451,97.8261,5.2174,0.0,0
90454,97.8261,125.2174,0.0,0
90455,97.8261,165.2174,0.0,0
90470,101.7391,347.8261,0.0,0
90481,103.6957,39.1304,0.0,0
90495,105.6522,210.4348,0.0,0
90503,107.6087,141.7391,0.0,0
90525,113.4783,215.6522,0.0,0
90526,113.4783,255.6522,0.0,0
90528,113.4783,335.6522,0.0,0
90539,115.4348,26.9565,0.0,0
90679,146.7391,127.8261,0.0,0
90684,146.7391,327.8261,0.0,0
90685,148.6957,339.1304,0.0,0
90688,148.6957,99.1304,0.0,0
90693,148.6957,299.1304,0.0,0
90697,150.6522,70.4348,1.110223e-16,0
90701,150.6522,230.4348,0.0,0
90702,150.6522,270.4348,0.0,0
90707,152.6087,81.7391,0.0,0
90711,152.6087,241.7391,0.0,0
90714,154.5652,333.0435,0.0,0
90716,154.5652,53.0435,0.0,0
90719,154.5652,173.0435,0.0,0
90721,156.5217,224.3478,0.0,0
90722,156.5217,264.3478,0.0,0
90724,156.5217,344.3478,0.0,0
90725,156.5217,24.3478,0.0,0
90728,156.5217,144.3478,0.0,0
90729,156.5217,184.3478,7.659429e-13,0
90731,158.4783,235.6522,0.0,0
90737,158.4783,115.6522,5.253808e-11,0
90741,160.4348,246.9565,0.0,0
90744,160.4348,6.9565,0.0,0
90746,160.4348,86.9565,0.0,0
90755,162.3913,58.2609,0.0,0
90760,164.3478,229.5652,3.851464e-11,0
90768,166.3043,160.8696,0.0,0
90769,166.3043,200.8696,2.18928e-07,0
90770,166.3043,240.8696,1.075284e-09,0
90771,166.3043,280.8696,0.0,0
90773,166.3043,0.8696,0.0,0
90777,168.2609,132.1739,0.0,0
90779,168.2609,212.1739,0.0,0
90787,170.2174,143.4783,0.0,0
90789,170.2174,223.4783,0.0,0
90790,170.2174,263.4783,0.0,0
90800,172.1739,274.7826,0.0,0
90803,174.1304,6.087,0.0,0
90804,174.1304,46.087,0.0,0
90806,174.1304,126.087,0.0,0
90809,174.1304,246.087,0.0,0
90812,176.087,337.3913,0.0,0
90815,176.087,97.3913,0.0,0
90818,176.087,217.3913,0.0,0
90823,178.0435,28.6957,0.0,0
90824,178.0435,68.6957,0.0,0
90830,180.0,280.0,0.0,0
90837,180.0,200.0,0.0,0
90842,181.9565,11.3043,0.0,0
90861,185.8696,353.913,0.0,0
90911,197.6087,21.7391,0.0,0
90972,209.3478,129.5652,0.0,0
90979,211.3043,20.8696,1.110223e-16,0
91596,346.3043,40.8696,0.0,0
91601,346.3043,240.8696,0.0,0
91612,350.2174,263.4783,0.0,0
91613,350.2174,303.4783,0.0,0
91615,350.2174,23.4783,0.0,0
91621,352.1739,234.7826,0.0,0
91642,356.087,297.3913,0.0,0
91644,356.087,17.3913,0.0,0
91656,358.0435,108.6957,0.0,0
