satellite_id,raan_deg,mean_anomaly_deg,Pc_n
90004,0.0,120.0,0.0
90028,5.8696,273.913,0.0
90057,11.7391,267.8261,0.0
90065,13.6957,199.1304,0.0
90068,13.6957,319.1304,0.0
90093,19.5652,153.0435,0.0
90120,25.4348,66.9565,0.0
90137,29.3478,329.5652,0.0
90155,33.2609,272.1739,0.0
90169,35.2174,83.4783,0.0
90184,39.1304,266.087,0.0
90194,41.087,277.3913,0.0
90196,41.087,357.3913,0.0
90214,45.0,300.0,0.0
90221,46.9565,191.3043,0.0
90225,46.9565,351.3043,0.0
90227,48.913,42.6087,0.0
90237,50.8696,53.913,0.0
90255,54.7826,356.5217,0.0
90256,54.7826,36.5217,0.0
90299,64.5652,173.0435,2.14556e-07
90307,66.5217,104.3478,0.0
90308,66.5217,144.3478,0.0
90314,66.5217,24.3478,0.0
90318,68.4783,155.6522,0.0
90353,76.3043,0.8696,0.0
90355,76.3043,80.8696,0.0
90377,80.2174,183.4783,0.0
90384,82.1739,74.7826,0.0
90403,86.087,57.3913,0.0
90426,91.9565,171.3043,6.151524e-12
90428,91.9565,251.3043,7.379859e-09
90438,93.913,262.6087,9.29034e-07
90451,97.8261,5.2174,0.0
90454,97.8261,125.2174,0.0
90455,97.8261,165.2174,0.0
90474,101.7391,147.8261,0.0
90492,105.6522,90.4348,2.777256e-06
90493,105.6522,130.4348,0.0
90563,121.3043,180.8696,0.0
90566,121.3043,300.8696,0.0
90595,129.1304,266.087,0.0
90598,129.1304,26.087,0.0
90615,133.0435,288.6957,1.479658e-08
90620,133.0435,128.6957,1.110223e-16
90645,138.913,322.6087,0.0
90662,142.8261,225.2174,0.0
90670,144.7826,156.5217,0.0
90709,152.6087,161.7391,9.65894e-15
90721,156.5217,224.3478,0.0
90749,162.3913,178.2609,0.0
90757,164.3478,109.5652,0.0
90805,174.1304,86.087,0.0
90827,178.0435,188.6957,0.0
90832,180.0,0.0,0.0
90839,181.9565,251.3043,0.0
90852,183.913,22.6087,0.0
90857,185.8696,193.913,0.0
90885,191.7391,147.8261,2.505001e-10
90918,197.6087,301.7391,0.0
90925,199.5652,193.0435,1.14353e-14
90931,201.5217,44.3478,5.57332e-13
90934,201.5217,164.3478,0.0
90959,207.3913,358.2609,0.0
90972,209.3478,129.5652,0.0
90991,215.2174,83.4783,1.309188e-05
90998,215.2174,3.4783,0.0
91007,217.1739,334.7826,4.775831e-06
91017,219.1304,346.087,0.0
91020,221.087,77.3913,0.0
91031,223.0435,128.6957,0.0
91057,228.913,2.6087,0.0
91061,228.913,162.6087,0.0
91064,230.8696,253.913,0.0
91105,238.6957,339.1304,0.0
91110,240.6522,150.4348,0.0
91187,256.3043,120.8696,0.0
91188,256.3043,160.8696,0.0
91213,262.1739,354.7826,0.0
91244,270.0,40.0,7.077803e-08
91267,273.913,182.6087,0.0
91273,275.8696,33.913,0.0
91287,277.8261,205.2174,0.0
91302,281.7391,27.8261,0.0
91326,287.6087,181.7391,0.0
91334,289.5652,113.0435,0.0
91344,291.5217,124.3478,3.051892e-12
91400,303.2609,32.1739,0.0
91402,303.2609,112.1739,3.774879e-07
91409,305.2174,3.4783,0.0
91411,305.2174,83.4783,0.0
91418,307.1739,334.7826,0.0
91437,311.087,317.3913,0.0
91517,328.6957,19.1304,0.0
91527,330.6522,30.4348,0.0
91567,340.4348,46.9565,0.0
91576,342.3913,18.2609,0.0
91624,352.1739,354.7826,7.170968e-09
91638,354.1304,166.087,0.0
91639,356.087,177.3913,0.0
